,i,h,n
0,43.00204485,502.73034951,14714.285714285714
1,53.15145805,350.57393651,2508.5714285714284
2,53.15145805,466.10682826,5834.285714285715
3,53.15145805,542.58808183,13617.142857142857
4,70.00019514,552.70592593,2468.5714285714284
5,97.65545541,557.94925974,1320.0
